date,numeric0,numeric1,categorical0,time,target
2015-11-24,2515,2,c,01:33:52,0
2009-03-05,5156,,b,20:09:27,0
2015-12-23,5930,,b,11:22:35,0
1992-02-16,2967,,b,19:18:36,0
1971-06-06,194,5,c,20:01:58,0
2007-07-16,7792,9,b,01:01:44,0
2011-12-26,3399,,b,06:17:32,0
1983-06-07,1139,,c,16:12:01,0
2017-06-03,3069,,b,01:10:32,0
2016-05-30,1002,7,b,01:30:26,0
1989-03-29,3559,8,a,19:56:35,0
1992-03-07,7866,,c,21:52:02,0
1975-10-07,9223,9,c,20:29:17,0
1977-11-19,1300,,b,20:12:13,0
1991-08-16,9539,,a,00:15:18,1
2011-07-13,369,,b,20:23:08,1
1974-03-03,1389,,b,09:44:22,0
1975-03-29,5851,,a,10:24:13,0
2004-03-05,7793,2,a,08:16:11,1
2018-02-23,697,0,c,05:20:31,0
2001-03-12,7948,2,a,10:12:54,1
1990-03-31,2285,,b,08:36:31,0
1994-12-22,930,,c,18:53:28,0
1973-01-08,6275,,c,00:19:22,0
1990-11-20,692,,c,15:26:42,1
2011-11-07,2669,0,c,03:32:25,1
2018-06-28,5591,9,c,12:15:23,0
1982-06-30,6953,4,a,11:24:08,0
1972-07-16,5942,,a,20:40:36,0
2013-08-07,4568,7,c,04:55:04,0
2001-02-16,8136,,b,21:15:28,0
1989-12-07,6302,,b,21:47:11,0
1984-08-10,7034,7,b,03:55:01,0
1990-01-02,3138,,a,06:11:26,0
1991-11-24,9724,,c,03:37:44,0
2007-06-11,2667,8,a,16:46:10,0
1974-04-21,171,,a,02:44:07,1
1971-05-16,5391,,b,13:11:49,0
2006-01-23,1478,,b,02:15:14,0
2018-06-03,6954,,b,03:27:17,0
1995-04-03,3136,,a,15:34:07,1
2007-08-23,6732,,c,14:11:07,0
2008-10-11,4111,,a,06:00:43,0
1983-12-21,2149,,a,13:06:05,0
2017-10-11,7901,,a,19:45:55,0
2019-08-01,2336,0,c,01:48:13,0
1996-06-10,9700,,b,05:52:47,0
1988-03-25,1782,,a,06:11:19,0
1979-06-13,9697,0,b,08:05:37,0
1999-04-27,9565,,a,16:10:04,0
2008-08-31,4709,,b,18:19:21,0
1977-11-12,8697,1,b,18:12:58,0
1995-10-17,8635,,b,05:39:12,0
2004-08-19,8062,,a,19:47:07,0
1974-11-11,2138,3,a,03:55:54,0
1987-06-02,212,7,b,13:56:46,0
2005-11-22,8702,,b,23:59:23,0
1979-09-20,9359,,a,08:46:43,0
2008-07-06,933,2,a,00:37:04,1
1991-07-19,5346,,c,15:06:28,0
1974-10-03,9940,8,b,05:46:34,0
2005-02-19,5935,2,b,15:50:56,0
1991-02-16,7601,,a,00:46:02,0
1993-12-02,3944,7,b,08:12:18,0
2016-09-19,2988,,b,13:58:10,0
1972-10-25,6567,,c,08:52:04,0
1982-04-26,6527,4,b,07:44:46,0
2005-06-04,8762,3,a,12:25:59,1
2002-02-27,8359,7,b,10:30:44,0
2000-08-16,5986,6,b,19:42:19,0
1972-12-22,2289,2,b,22:37:55,0
1995-02-22,6032,,b,14:31:15,0
2008-06-27,862,8,a,18:38:24,1
2009-02-24,7831,0,b,05:27:28,0
1977-12-15,6184,7,c,06:36:48,0
2004-03-31,841,,c,02:40:20,0
2018-03-25,3582,1,c,18:51:24,0
1976-12-02,4434,,b,15:08:01,0
1990-09-03,3472,6,a,15:18:35,0
1982-12-11,4519,,c,19:07:38,0
1993-02-14,7758,4,c,11:00:49,0
2010-01-19,9256,2,b,05:07:14,0
2014-10-28,5685,4,c,20:08:30,0
1983-02-23,2545,9,a,23:29:26,0
2009-02-02,1701,,b,07:18:51,0
1984-09-24,6748,1,a,22:59:58,0
1972-03-05,5092,,b,03:30:23,0
2000-08-06,9810,,b,16:46:30,0
2014-03-21,4539,,a,13:09:14,1
1980-05-19,6682,7,b,17:00:00,0
